onset	duration	sample	value	trial_type
6.646484375	n/a	3403	2	condition 2
6.8515625	n/a	3508	22	condition 22
13.86914062	n/a	7101	2	condition 2
14.07226562	n/a	7205	22	condition 22
21.90234375	n/a	11214	2	condition 2
22.10546875	n/a	11318	22	condition 22
29.75	n/a	15232	2	condition 2
29.95703125	n/a	15338	22	condition 22
39.59960938	n/a	20275	2	condition 2
39.80273438	n/a	20379	22	condition 22
46.80273438	n/a	23963	2	condition 2
47.00585938	n/a	24067	22	condition 22
56.26171875	n/a	28806	2	condition 2
56.46484375	n/a	28910	22	condition 22
65.73632812	n/a	33657	2	condition 2
65.93945312	n/a	33761	22	condition 22
75.58789062	n/a	38701	2	condition 2
75.7890625	n/a	38804	22	condition 22
82.7890625	n/a	42388	2	condition 2
82.9921875	n/a	42492	22	condition 22
90.82421875	n/a	46502	2	condition 2
91.02734375	n/a	46606	22	condition 22
98.671875	n/a	50520	2	condition 2
98.875	n/a	50624	22	condition 22
106.7246094	n/a	54643	2	condition 2
106.9257812	n/a	54746	22	condition 22
116.5722656	n/a	59685	2	condition 2
116.7753906	n/a	59789	22	condition 22
123.7929688	n/a	63382	2	condition 2
123.9960938	n/a	63486	22	condition 22
125.2675781	n/a	64137	23	condition 23
133.25	n/a	68224	2	condition 2
133.4550781	n/a	68329	22	condition 22
141.0996094	n/a	72243	2	condition 2
141.3027344	n/a	72347	22	condition 22
149.1523438	n/a	76366	2	condition 2
149.3535156	n/a	76469	22	condition 22
158.9980469	n/a	81407	2	condition 2
159.203125	n/a	81512	22	condition 22
166.8496094	n/a	85427	2	condition 2
167.0507812	n/a	85530	22	condition 22
174.0527344	n/a	89115	2	condition 2
174.2539062	n/a	89218	22	condition 22
183.5097656	n/a	93957	2	condition 2
183.7128906	n/a	94061	22	condition 22
193.3574219	n/a	98999	2	condition 2
193.5605469	n/a	99103	22	condition 22
201.2050781	n/a	103017	2	condition 2
201.4082031	n/a	103121	22	condition 22
210.6816406	n/a	107869	2	condition 2
210.8847656	n/a	107973	22	condition 22
218.734375	n/a	111992	2	condition 2
218.9355469	n/a	112095	22	condition 22
225.921875	n/a	115672	2	condition 2
226.1230469	n/a	115775	22	condition 22
235.7675781	n/a	120713	2	condition 2
235.9707031	n/a	120817	22	condition 22
243.8183594	n/a	124835	2	condition 2
244.0234375	n/a	124940	22	condition 22
253.2949219	n/a	129687	2	condition 2
253.4980469	n/a	129791	22	condition 22
260.4980469	n/a	133375	2	condition 2
260.7011719	n/a	133479	22	condition 22
268.3300781	n/a	137385	2	condition 2
268.5351562	n/a	137490	22	condition 22
278.1777344	n/a	142427	2	condition 2
278.3808594	n/a	142531	22	condition 22
286.0273438	n/a	146446	2	condition 2
286.2304688	n/a	146550	22	condition 22
295.5019531	n/a	151297	2	condition 2
295.7050781	n/a	151401	22	condition 22
302.6914062	n/a	154978	2	condition 2
302.8925781	n/a	155081	22	condition 22
310.7402344	n/a	159099	2	condition 2
310.9453125	n/a	159204	22	condition 22
318.7910156	n/a	163221	2	condition 2
318.9941406	n/a	163325	22	condition 22
328.2832031	n/a	168081	2	condition 2
328.4863281	n/a	168185	22	condition 22
336.1328125	n/a	172100	2	condition 2
336.3359375	n/a	172204	22	condition 22
343.3359375	n/a	175788	2	condition 2
343.5390625	n/a	175892	22	condition 22
353.1679688	n/a	180822	2	condition 2
353.3710938	n/a	180926	22	condition 22
363.015625	n/a	185864	2	condition 2
363.21875	n/a	185968	22	condition 22
370.2207031	n/a	189553	2	condition 2
370.421875	n/a	189656	22	condition 22
379.6777344	n/a	194395	2	condition 2
379.8808594	n/a	194499	22	condition 22
387.7324219	n/a	198519	2	condition 2
387.9335938	n/a	198622	22	condition 22
395.578125	n/a	202536	2	condition 2
395.78125	n/a	202640	22	condition 22
403.4257812	n/a	206554	2	condition 2
403.6289062	n/a	206658	22	condition 22
410.6308594	n/a	210243	2	condition 2
410.8339844	n/a	210347	22	condition 22
418.6640625	n/a	214356	2	condition 2
418.8691406	n/a	214461	22	condition 22
428.1425781	n/a	219209	2	condition 2
428.34375	n/a	219312	22	condition 22
437.9882812	n/a	224250	2	condition 2
438.1914062	n/a	224354	22	condition 22
447.4804688	n/a	229110	2	condition 2
447.6835938	n/a	229214	22	condition 22
457.328125	n/a	234152	2	condition 2
457.53125	n/a	234256	22	condition 22
465.3789062	n/a	238274	2	condition 2
465.5839844	n/a	238379	22	condition 22
473.2285156	n/a	242293	2	condition 2
473.4316406	n/a	242397	22	condition 22
480.4316406	n/a	245981	2	condition 2
480.6347656	n/a	246085	22	condition 22
488.4667969	n/a	250095	2	condition 2
488.6699219	n/a	250199	22	condition 22
497.9414062	n/a	254946	2	condition 2
498.1445312	n/a	255050	22	condition 22
507.7890625	n/a	259988	2	condition 2
507.9960938	n/a	260094	22	condition 22
514.9941406	n/a	263677	2	condition 2
515.1992188	n/a	263782	22	condition 22
522.8242188	n/a	267686	2	condition 2
523.0292969	n/a	267791	22	condition 22
530.0292969	n/a	271375	2	condition 2
530.2324219	n/a	271479	22	condition 22
539.4882812	n/a	276218	2	condition 2
539.6914062	n/a	276322	22	condition 22
547.5390625	n/a	280340	2	condition 2
547.7421875	n/a	280444	22	condition 22
555.3867188	n/a	284358	2	condition 2
555.5898438	n/a	284462	22	condition 22
565.234375	n/a	289400	2	condition 2
565.4394531	n/a	289505	22	condition 22
567.7285156	n/a	290677	9	condition 9
596.8574219	n/a	305591	2	condition 2
597.0625	n/a	305696	22	condition 22
606.7070312	n/a	310634	2	condition 2
606.9101562	n/a	310738	22	condition 22
616.1816406	n/a	315485	2	condition 2
616.3847656	n/a	315589	22	condition 22
