onset	duration	sample	value	trial_type
1.537109375	n/a	787	2	condition 2
1.740234375	n/a	891	22	condition 22
11.3671875	n/a	5820	2	condition 2
11.57226562	n/a	5925	22	condition 22
19.421875	n/a	9944	2	condition 2
19.62304688	n/a	10047	22	condition 22
28.89453125	n/a	14794	2	condition 2
29.09765625	n/a	14898	22	condition 22
36.7421875	n/a	18812	2	condition 2
36.94726562	n/a	18917	22	condition 22
43.94726562	n/a	22501	2	condition 2
44.15039062	n/a	22605	22	condition 22
51.13476562	n/a	26181	2	condition 2
51.33789062	n/a	26285	22	condition 22
60.609375	n/a	31032	2	condition 2
60.8125	n/a	31136	22	condition 22
68.66015625	n/a	35154	2	condition 2
68.86328125	n/a	35258	22	condition 22
78.51171875	n/a	40198	2	condition 2
78.71289062	n/a	40301	22	condition 22
86.35742188	n/a	44215	2	condition 2
86.56054688	n/a	44319	22	condition 22
95.84960938	n/a	49075	2	condition 2
96.05273438	n/a	49179	22	condition 22
105.6972656	n/a	54117	2	condition 2
105.9003906	n/a	54221	22	condition 22
113.7519531	n/a	58241	2	condition 2
113.953125	n/a	58344	22	condition 22
120.953125	n/a	61928	2	condition 2
121.1582031	n/a	62033	22	condition 22
128.7851562	n/a	65938	2	condition 2
128.9882812	n/a	66042	22	condition 22
138.2597656	n/a	70789	2	condition 2
138.4628906	n/a	70893	22	condition 22
146.3105469	n/a	74911	2	condition 2
146.515625	n/a	75016	22	condition 22
154.1601562	n/a	78930	2	condition 2
154.3632812	n/a	79034	22	condition 22
164.0078125	n/a	83972	2	condition 2
164.2109375	n/a	84076	22	condition 22
171.2109375	n/a	87660	2	condition 2
171.4140625	n/a	87764	22	condition 22
178.3984375	n/a	91340	2	condition 2
178.6015625	n/a	91444	22	condition 22
187.8574219	n/a	96183	2	condition 2
188.0605469	n/a	96287	22	condition 22
195.7070312	n/a	100202	2	condition 2
195.9082031	n/a	100305	22	condition 22
203.7578125	n/a	104324	2	condition 2
203.9628906	n/a	104429	22	condition 22
213.6054688	n/a	109366	2	condition 2
213.8085938	n/a	109470	22	condition 22
221.6582031	n/a	113489	2	condition 2
221.859375	n/a	113592	22	condition 22
228.8457031	n/a	117169	2	condition 2
229.046875	n/a	117272	22	condition 22
238.6914062	n/a	122210	2	condition 2
238.8945312	n/a	122314	22	condition 22
248.1679688	n/a	127062	2	condition 2
248.3710938	n/a	127166	22	condition 22
256.015625	n/a	131080	2	condition 2
256.21875	n/a	131184	22	condition 22
264.0683594	n/a	135203	2	condition 2
264.2714844	n/a	135307	22	condition 22
273.9160156	n/a	140245	2	condition 2
274.1191406	n/a	140349	22	condition 22
281.1191406	n/a	143933	2	condition 2
281.3222656	n/a	144037	22	condition 22
290.578125	n/a	148776	2	condition 2
290.78125	n/a	148880	22	condition 22
298.4433594	n/a	152803	2	condition 2
298.6464844	n/a	152907	22	condition 22
308.2910156	n/a	157845	2	condition 2
308.4941406	n/a	157949	22	condition 22
317.765625	n/a	162696	2	condition 2
317.96875	n/a	162800	22	condition 22
325.6152344	n/a	166715	2	condition 2
