onset	duration	sample	value	trial_type
2.2265625	n/a	1140	2	condition 2
2.4296875	n/a	1244	22	condition 22
11.70117188	n/a	5991	2	condition 2
11.90429688	n/a	6095	22	condition 22
19.55078125	n/a	10010	2	condition 2
19.75390625	n/a	10114	22	condition 22
26.75390625	n/a	13698	2	condition 2
26.95703125	n/a	13802	22	condition 22
33.93945312	n/a	17377	2	condition 2
34.14453125	n/a	17482	22	condition 22
41.77148438	n/a	21387	2	condition 2
41.97460938	n/a	21491	22	condition 22
51.24609375	n/a	26238	2	condition 2
51.44921875	n/a	26342	22	condition 22
59.31445312	n/a	30369	2	condition 2
59.51953125	n/a	30474	22	condition 22
69.1640625	n/a	35412	2	condition 2
69.36914062	n/a	35517	22	condition 22
77.01171875	n/a	39430	2	condition 2
77.21484375	n/a	39534	22	condition 22
85.06445312	n/a	43553	2	condition 2
85.265625	n/a	43656	22	condition 22
94.5390625	n/a	48404	2	condition 2
94.7421875	n/a	48508	22	condition 22
101.7421875	n/a	52092	2	condition 2
101.9453125	n/a	52196	22	condition 22
111.5742188	n/a	57126	2	condition 2
111.7773438	n/a	57230	22	condition 22
119.421875	n/a	61144	2	condition 2
119.625	n/a	61248	22	condition 22
126.625	n/a	64832	2	condition 2
126.8300781	n/a	64937	22	condition 22
134.6621094	n/a	68947	2	condition 2
134.8632812	n/a	69050	22	condition 22
144.1367188	n/a	73798	2	condition 2
144.3398438	n/a	73902	22	condition 22
153.984375	n/a	78840	2	condition 2
154.1875	n/a	78944	22	condition 22
162.0351562	n/a	82962	2	condition 2
162.2382812	n/a	83066	22	condition 22
171.5117188	n/a	87814	2	condition 2
171.7148438	n/a	87918	22	condition 22
179.3769531	n/a	91841	2	condition 2
179.5800781	n/a	91945	22	condition 22
186.5644531	n/a	95521	2	condition 2
186.765625	n/a	95624	22	condition 22
196.4121094	n/a	100563	2	condition 2
196.6152344	n/a	100667	22	condition 22
203.6152344	n/a	104251	2	condition 2
203.8183594	n/a	104355	22	condition 22
211.6660156	n/a	108373	2	condition 2
211.8710938	n/a	108478	22	condition 22
221.1425781	n/a	113225	2	condition 2
221.3457031	n/a	113329	22	condition 22
228.9921875	n/a	117244	2	condition 2
229.1933594	n/a	117347	22	condition 22
238.8378906	n/a	122285	2	condition 2
239.0429688	n/a	122390	22	condition 22
248.3144531	n/a	127137	2	condition 2
248.5175781	n/a	127241	22	condition 22
256.1621094	n/a	131155	2	condition 2
256.3652344	n/a	131259	22	condition 22
266.0097656	n/a	136197	2	condition 2
266.2128906	n/a	136301	22	condition 22
274.0625	n/a	140320	2	condition 2
274.265625	n/a	140424	22	condition 22
281.265625	n/a	144008	2	condition 2
281.46875	n/a	144112	22	condition 22
289.0976562	n/a	148018	2	condition 2
289.3007812	n/a	148122	22	condition 22
298.5742188	n/a	152870	2	condition 2
298.7753906	n/a	152973	22	condition 22
305.7617188	n/a	156550	2	condition 2
305.9628906	n/a	156653	22	condition 22
315.6074219	n/a	161591	2	condition 2
315.8105469	n/a	161695	22	condition 22
323.6601562	n/a	165714	2	condition 2
323.8632812	n/a	165818	22	condition 22
331.7128906	n/a	169837	2	condition 2
