onset	duration	sample	trial_type
0	n/a	0	61440
6.5234375	n/a	3340	61442
6.7265625	n/a	3444	61462
15.99804688	n/a	8191	61442
16.20117188	n/a	8295	61462
17.49023438	n/a	8955	61463
23.84765625	n/a	12210	61442
24.05273438	n/a	12315	61462
25.33789062	n/a	12973	61463
31.8984375	n/a	16332	61442
32.1015625	n/a	16436	61462
39.1015625	n/a	20020	61442
39.3046875	n/a	20124	61462
48.96875	n/a	25072	61442
49.16992188	n/a	25175	61462
58.81640625	n/a	30114	61442
59.01953125	n/a	30218	61462
66.01953125	n/a	33802	61442
66.22265625	n/a	33906	61462
73.86914062	n/a	37821	61442
74.0703125	n/a	37924	61462
81.91992188	n/a	41943	61442
82.125	n/a	42048	61462
91.39648438	n/a	46795	61442
91.59765625	n/a	46898	61462
98.59765625	n/a	50482	61442
98.80273438	n/a	50587	61462
106.6328125	n/a	54596	61442
106.8359375	n/a	54700	61462
116.4824219	n/a	59639	61442
116.6855469	n/a	59743	61462
125.9570312	n/a	64490	61442
126.1601562	n/a	64594	61462
133.8046875	n/a	68508	61442
134.0097656	n/a	68613	61462
143.6523438	n/a	73550	61442
143.8574219	n/a	73655	61462
153.1289062	n/a	78402	61442
153.3320312	n/a	78506	61462
161.1796875	n/a	82524	61442
161.3828125	n/a	82628	61462
168.3847656	n/a	86213	61442
168.5878906	n/a	86317	61462
176.2148438	n/a	90222	61442
176.4199219	n/a	90327	61462
185.6914062	n/a	95074	61442
185.8945312	n/a	95178	61462
193.5390625	n/a	99092	61442
193.7421875	n/a	99196	61462
200.7421875	n/a	102780	61442
200.9453125	n/a	102884	61462
210.5742188	n/a	107814	61442
210.7792969	n/a	107919	61462
218.625	n/a	111936	61442
218.828125	n/a	112040	61462
228.1015625	n/a	116788	61442
228.3066406	n/a	116893	61462
235.9492188	n/a	120806	61442
236.1523438	n/a	120910	61462
245.796875	n/a	125848	61442
246.0019531	n/a	125953	61462
253.8496094	n/a	129971	61442
254.0527344	n/a	130075	61462
261.0527344	n/a	133659	61442
261.2558594	n/a	133763	61462
270.9023438	n/a	138702	61442
271.1035156	n/a	138805	61462
272.3925781	n/a	139465	61463
278.7480469	n/a	142719	61442
278.953125	n/a	142824	61462
280.2421875	n/a	143484	61463
285.953125	n/a	146408	61442
286.15625	n/a	146512	61462
287.4472656	n/a	147173	61463
295.4277344	n/a	151259	61442
295.6308594	n/a	151363	61462
303.4804688	n/a	155382	61442
303.6835938	n/a	155486	61462
304.9707031	n/a	156145	61463
312.9550781	n/a	160233	61442
313.1582031	n/a	160337	61462
322.8046875	n/a	165276	61442
323.0078125	n/a	165380	61462
330.8554688	n/a	169398	61442
331.0605469	n/a	169503	61462
338.0585938	n/a	173086	61442
338.2636719	n/a	173191	61462
345.890625	n/a	177096	61442
346.09375	n/a	177200	61462
353.7402344	n/a	181115	61442
353.9414062	n/a	181218	61462
363.5859375	n/a	186156	61442
363.7890625	n/a	186260	61462
371.6386719	n/a	190279	61442
371.8417969	n/a	190383	61462
373.1289062	n/a	191042	61463
381.1132812	n/a	195130	61442
381.3164062	n/a	195234	61462
388.3183594	n/a	198819	61442
388.5214844	n/a	198923	61462
397.7753906	n/a	203661	61442
397.9785156	n/a	203765	61462
405.828125	n/a	207784	61442
406.03125	n/a	207888	61462
413.6757812	n/a	211802	61442
413.8808594	n/a	211907	61462
423.5234375	n/a	216844	61442
423.7265625	n/a	216948	61462
430.7285156	n/a	220533	61442
430.9316406	n/a	220637	61462
440.1855469	n/a	225375	61442
440.390625	n/a	225480	61462
448.0351562	n/a	229394	61442
448.2382812	n/a	229498	61462
456.0859375	n/a	233516	61442
456.2890625	n/a	233620	61462
465.9335938	n/a	238558	61442
466.1367188	n/a	238662	61462
473.1230469	n/a	242239	61442
473.3242188	n/a	242342	61462
480.3105469	n/a	245919	61442
480.5117188	n/a	246022	61462
489.7832031	n/a	250769	61442
489.9863281	n/a	250873	61462
497.6308594	n/a	254787	61442
497.8339844	n/a	254891	61462
505.6835938	n/a	258910	61442
505.8867188	n/a	259014	61462
507.1738281	n/a	259673	61463
515.5332031	n/a	263953	61442
515.734375	n/a	264056	61462
518.0234375	n/a	265228	61453
534.390625	n/a	273608	61444
540.1816406	n/a	276573	61442
540.3847656	n/a	276677	61462
547.4023438	n/a	280270	61442
547.6054688	n/a	280374	61462
555.4355469	n/a	284383	61442
555.6386719	n/a	284487	61462
565.2851562	n/a	289426	61442
565.4902344	n/a	289531	61462
573.3359375	n/a	293548	61442
573.5390625	n/a	293652	61462
581.2011719	n/a	297575	61442
