onset	duration	sample	trial_type
0.765625	n/a	392	61462
10.90429688	n/a	5583	61442
11.10351562	n/a	5685	61462
22.74414062	n/a	11645	61442
22.9453125	n/a	11748	61462
29.94921875	n/a	15334	61442
30.15039062	n/a	15437	61462
39.74023438	n/a	20347	61442
39.93945312	n/a	20449	61462
47.49414062	n/a	24317	61442
47.6953125	n/a	24420	61462
59.3359375	n/a	30380	61442
59.53710938	n/a	30483	61462
66.54101562	n/a	34069	61442
66.74023438	n/a	34171	61462
77.33203125	n/a	39594	61442
77.53125	n/a	39696	61462
87.12109375	n/a	44606	61442
87.32226562	n/a	44709	61462
94.87695312	n/a	48577	61442
95.07617188	n/a	48679	61462
102.0820312	n/a	52266	61442
102.28125	n/a	52368	61462
113.9238281	n/a	58329	61442
114.1230469	n/a	58431	61462
124.7128906	n/a	63853	61442
124.9140625	n/a	63956	61462
132.46875	n/a	67824	61442
132.6699219	n/a	67927	61462
142.2597656	n/a	72837	61442
142.4589844	n/a	72939	61462
153.0488281	n/a	78361	61442
153.25	n/a	78464	61462
160.2539062	n/a	82050	61442
160.4550781	n/a	82153	61462
170.0449219	n/a	87063	61442
170.2441406	n/a	87165	61462
177.7988281	n/a	91033	61442
178	n/a	91136	61462
189.640625	n/a	97096	61442
189.8417969	n/a	97199	61462
196.8457031	n/a	100785	61442
197.0449219	n/a	100887	61462
198.3300781	n/a	101545	61463
208.6875	n/a	106848	61442
208.8867188	n/a	106950	61462
216.4414062	n/a	110818	61442
216.6425781	n/a	110921	61462
227.2324219	n/a	116343	61442
227.4335938	n/a	116446	61462
237.0234375	n/a	121356	61442
237.2226562	n/a	121458	61462
244.2265625	n/a	125044	61442
244.4277344	n/a	125147	61462
256.0683594	n/a	131107	61442
256.2695312	n/a	131210	61462
266.859375	n/a	136632	61442
267.0605469	n/a	136735	61462
276.6484375	n/a	141644	61442
276.8496094	n/a	141747	61462
284.4042969	n/a	145615	61442
284.6054688	n/a	145718	61462
295.1953125	n/a	151140	61442
295.3945312	n/a	151242	61462
304.984375	n/a	156152	61442
305.1855469	n/a	156255	61462
312.1894531	n/a	159841	61442
312.390625	n/a	159944	61462
324.03125	n/a	165904	61442
324.2304688	n/a	166006	61462
325.515625	n/a	166664	61463
331.7871094	n/a	169875	61442
331.9863281	n/a	169977	61462
341.5761719	n/a	174887	61442
341.7753906	n/a	174989	61462
349.3320312	n/a	178858	61442
349.53125	n/a	178960	61462
360.1230469	n/a	184383	61442
360.3222656	n/a	184485	61462
371.9648438	n/a	190446	61442
372.1640625	n/a	190548	61462
379.1679688	n/a	194134	61442
379.3691406	n/a	194237	61462
386.3730469	n/a	197823	61442
386.5742188	n/a	197926	61462
394.1289062	n/a	201794	61442
394.328125	n/a	201896	61462
405.96875	n/a	207856	61442
406.1679688	n/a	207958	61462
416.7597656	n/a	213381	61442
416.9609375	n/a	213484	61462
426.5507812	n/a	218394	61442
426.75	n/a	218496	61462
436.3398438	n/a	223406	61442
436.5410156	n/a	223509	61462
447.1308594	n/a	228931	61442
447.3300781	n/a	229033	61462
454.3359375	n/a	232620	61442
454.5351562	n/a	232722	61462
466.1777344	n/a	238683	61442
466.3769531	n/a	238785	61462
473.9316406	n/a	242653	61442
474.1328125	n/a	242756	61462
483.7226562	n/a	247666	61442
483.921875	n/a	247768	61462
494.5117188	n/a	253190	61442
494.7128906	n/a	253293	61462
506.3535156	n/a	259253	61442
506.5546875	n/a	259356	61462
513.5585938	n/a	262942	61442
513.7597656	n/a	263045	61462
521.3144531	n/a	266913	61442
521.5136719	n/a	267015	61462
533.1542969	n/a	272975	61442
533.3554688	n/a	273078	61462
540.9101562	n/a	276946	61442
541.1113281	n/a	277049	61462
548.1152344	n/a	280635	61442
548.3164062	n/a	280738	61462
558.90625	n/a	286160	61442
559.1054688	n/a	286262	61462
