onset	duration	sample	value	trial_type
0	n/a	0	22	condition 22
8.13671875	n/a	4166	2	condition 2
8.337890625	n/a	4269	22	condition 22
16.1875	n/a	8288	2	condition 2
16.390625	n/a	8392	22	condition 22
25.6640625	n/a	13140	2	condition 2
25.86523438	n/a	13243	22	condition 22
32.8515625	n/a	16820	2	condition 2
33.05273438	n/a	16923	22	condition 22
40.90039062	n/a	20941	2	condition 2
41.10351562	n/a	21045	22	condition 22
48.74804688	n/a	24959	2	condition 2
48.953125	n/a	25064	22	condition 22
58.59765625	n/a	30002	2	condition 2
58.80273438	n/a	30107	22	condition 22
61.08984375	n/a	31278	13	condition 13
72.59375	n/a	37168	22	condition 22
79.27929688	n/a	40591	2	condition 2
79.48242188	n/a	40695	22	condition 22
87.12695312	n/a	44609	2	condition 2
87.33007812	n/a	44713	22	condition 22
94.33203125	n/a	48298	2	condition 2
94.53515625	n/a	48402	22	condition 22
103.7890625	n/a	53140	2	condition 2
103.9941406	n/a	53245	22	condition 22
110.9941406	n/a	56829	2	condition 2
111.1972656	n/a	56933	22	condition 22
118.8242188	n/a	60838	2	condition 2
119.03125	n/a	60944	22	condition 22
126.8769531	n/a	64961	2	condition 2
127.0800781	n/a	65065	22	condition 22
136.3691406	n/a	69821	2	condition 2
136.5722656	n/a	69925	22	condition 22
146.2167969	n/a	74863	2	condition 2
146.4199219	n/a	74967	22	condition 22
155.6933594	n/a	79715	2	condition 2
155.8964844	n/a	79819	22	condition 22
163.7460938	n/a	83838	2	condition 2
163.9472656	n/a	83941	22	condition 22
170.9335938	n/a	87518	2	condition 2
171.1347656	n/a	87621	22	condition 22
180.7792969	n/a	92559	2	condition 2
180.9824219	n/a	92663	22	condition 22
188.6464844	n/a	96587	2	condition 2
188.8476562	n/a	96690	22	condition 22
196.6953125	n/a	100708	2	condition 2
196.9003906	n/a	100813	22	condition 22
204.5449219	n/a	104727	2	condition 2
204.7480469	n/a	104831	22	condition 22
214.3925781	n/a	109769	2	condition 2
214.5957031	n/a	109873	22	condition 22
223.8691406	n/a	114621	2	condition 2
224.0703125	n/a	114724	22	condition 22
231.0585938	n/a	118302	2	condition 2
231.2578125	n/a	118404	22	condition 22
239.1054688	n/a	122422	2	condition 2
239.3105469	n/a	122527	22	condition 22
246.3105469	n/a	126111	2	condition 2
246.5136719	n/a	126215	22	condition 22
254.140625	n/a	130120	2	condition 2
254.34375	n/a	130224	22	condition 22
255.6328125	n/a	130884	23	condition 23
263.6171875	n/a	134972	2	condition 2
263.8203125	n/a	135076	22	condition 22
273.4648438	n/a	140014	2	condition 2
273.6699219	n/a	140119	22	condition 22
283.3125	n/a	145056	2	condition 2
283.515625	n/a	145160	22	condition 22
290.5175781	n/a	148745	2	condition 2
290.7207031	n/a	148849	22	condition 22
299.9746094	n/a	153587	2	condition 2
300.1796875	n/a	153692	22	condition 22
307.8261719	n/a	157607	2	condition 2
308.0273438	n/a	157710	22	condition 22
315.875	n/a	161728	2	condition 2
316.0800781	n/a	161833	22	condition 22
323.078125	n/a	165416	2	condition 2
323.2832031	n/a	165521	22	condition 22
330.9101562	n/a	169426	2	condition 2
331.1132812	n/a	169530	22	condition 22
338.9628906	n/a	173549	2	condition 2
339.1640625	n/a	173652	22	condition 22
348.8105469	n/a	178591	2	condition 2
349.0136719	n/a	178695	22	condition 22
358.3027344	n/a	183451	2	condition 2
358.5058594	n/a	183555	22	condition 22
368.1503906	n/a	188493	2	condition 2
368.3535156	n/a	188597	22	condition 22
375.3554688	n/a	192182	2	condition 2
375.5585938	n/a	192286	22	condition 22
384.8125	n/a	197024	2	condition 2
385.015625	n/a	197128	22	condition 22
392.6601562	n/a	201042	2	condition 2
392.8671875	n/a	201148	22	condition 22
400.7128906	n/a	205165	2	condition 2
400.9160156	n/a	205269	22	condition 22
407.9160156	n/a	208853	2	condition 2
408.1191406	n/a	208957	22	condition 22
415.765625	n/a	212872	2	condition 2
415.96875	n/a	212976	22	condition 22
425.6132812	n/a	217914	2	condition 2
425.8164062	n/a	218018	22	condition 22
435.0878906	n/a	222765	2	condition 2
435.2929688	n/a	222870	22	condition 22
443.1386719	n/a	226887	2	condition 2
443.34375	n/a	226992	22	condition 22
450.3613281	n/a	230585	2	condition 2
450.5644531	n/a	230689	22	condition 22
459.8183594	n/a	235427	2	condition 2
460.0214844	n/a	235531	22	condition 22
469.6679688	n/a	240470	2	condition 2
469.8710938	n/a	240574	22	condition 22
477.71875	n/a	244592	2	condition 2
477.9238281	n/a	244697	22	condition 22
485.5664062	n/a	248610	2	condition 2
485.7695312	n/a	248714	22	condition 22
493.6191406	n/a	252733	2	condition 2
493.8222656	n/a	252837	22	condition 22
500.8066406	n/a	256413	2	condition 2
501.0078125	n/a	256516	22	condition 22
510.6542969	n/a	261455	2	condition 2
