onset	duration	sample	value	trial_type
0.484375	n/a	248	22	condition 22
9.66796875	n/a	4950	2	condition 2
9.87109375	n/a	5054	22	condition 22
17.71875	n/a	9072	2	condition 2
17.921875	n/a	9176	22	condition 22
27.56640625	n/a	14114	2	condition 2
27.76953125	n/a	14218	22	condition 22
37.41601562	n/a	19157	2	condition 2
37.61914062	n/a	19261	22	condition 22
45.46875	n/a	23280	2	condition 2
45.66992188	n/a	23383	22	condition 22
54.94335938	n/a	28131	2	condition 2
55.14453125	n/a	28234	22	condition 22
62.13085938	n/a	31811	2	condition 2
62.33203125	n/a	31914	22	condition 22
69.9765625	n/a	35828	2	condition 2
70.1796875	n/a	35932	22	condition 22
77.18164062	n/a	39517	2	condition 2
77.38476562	n/a	39621	22	condition 22
86.67382812	n/a	44377	2	condition 2
86.87695312	n/a	44481	22	condition 22
94.52148438	n/a	48395	2	condition 2
94.72460938	n/a	48499	22	condition 22
102.5761719	n/a	52519	2	condition 2
102.7773438	n/a	52622	22	condition 22
112.421875	n/a	57560	2	condition 2
112.625	n/a	57664	22	condition 22
120.2871094	n/a	61587	2	condition 2
120.4902344	n/a	61691	22	condition 22
129.7617188	n/a	66438	2	condition 2
129.9648438	n/a	66542	22	condition 22
136.9648438	n/a	70126	2	condition 2
137.1699219	n/a	70231	22	condition 22
146.796875	n/a	75160	2	condition 2
147	n/a	75264	22	condition 22
154.8476562	n/a	79282	2	condition 2
155.0527344	n/a	79387	22	condition 22
162.9003906	n/a	83405	2	condition 2
163.1035156	n/a	83509	22	condition 22
172.7480469	n/a	88447	2	condition 2
172.9511719	n/a	88551	22	condition 22
180.5957031	n/a	92465	2	condition 2
180.8007812	n/a	92570	22	condition 22
187.8007812	n/a	96154	2	condition 2
188.0039062	n/a	96258	22	condition 22
197.2597656	n/a	100997	2	condition 2
197.4628906	n/a	101101	22	condition 22
205.3105469	n/a	105119	2	condition 2
205.5136719	n/a	105223	22	condition 22
213.1582031	n/a	109137	2	condition 2
213.3613281	n/a	109241	22	condition 22
223.0078125	n/a	114180	2	condition 2
223.2109375	n/a	114284	22	condition 22
232.4824219	n/a	119031	2	condition 2
232.6855469	n/a	119135	22	condition 22
239.6855469	n/a	122719	2	condition 2
239.8886719	n/a	122823	22	condition 22
247.5175781	n/a	126729	2	condition 2
247.7226562	n/a	126834	22	condition 22
256.9941406	n/a	131581	2	condition 2
257.1953125	n/a	131684	22	condition 22
266.8417969	n/a	136623	2	condition 2
267.0449219	n/a	136727	22	condition 22
274.0449219	n/a	140311	2	condition 2
274.2480469	n/a	140415	22	condition 22
282.0800781	n/a	144425	2	condition 2
282.2832031	n/a	144529	22	condition 22
289.2675781	n/a	148105	2	condition 2
289.4707031	n/a	148209	22	condition 22
297.3183594	n/a	152227	2	condition 2
297.5234375	n/a	152332	22	condition 22
305.1660156	n/a	156245	2	condition 2
305.3691406	n/a	156349	22	condition 22
314.640625	n/a	161096	2	condition 2
314.8457031	n/a	161201	22	condition 22
324.4921875	n/a	166140	2	condition 2
324.6933594	n/a	166243	22	condition 22
325.9804688	n/a	166902	23	condition 23
334.3378906	n/a	171181	2	condition 2
334.5410156	n/a	171285	22	condition 22
341.5410156	n/a	174869	2	condition 2
341.7460938	n/a	174974	22	condition 22
349.6113281	n/a	179001	2	condition 2
349.8144531	n/a	179105	22	condition 22
359.0859375	n/a	183852	2	condition 2
359.2890625	n/a	183956	22	condition 22
366.9355469	n/a	187871	2	condition 2
367.1367188	n/a	187974	22	condition 22
376.78125	n/a	192912	2	condition 2
376.9863281	n/a	193017	22	condition 22
378.2734375	n/a	193676	23	condition 23
384.8339844	n/a	197035	2	condition 2
385.0371094	n/a	197139	22	condition 22
392.6816406	n/a	201053	2	condition 2
392.8867188	n/a	201158	22	condition 22
399.8847656	n/a	204741	2	condition 2
400.0917969	n/a	204847	22	condition 22
409.34375	n/a	209584	2	condition 2
409.5488281	n/a	209689	22	condition 22
418.8222656	n/a	214437	2	condition 2
419.0234375	n/a	214540	22	condition 22
426.8710938	n/a	218558	2	condition 2
427.0761719	n/a	218663	22	condition 22
436.71875	n/a	223600	2	condition 2
436.921875	n/a	223704	22	condition 22
444.5664062	n/a	227618	2	condition 2
444.7714844	n/a	227723	22	condition 22
451.7714844	n/a	231307	2	condition 2
451.9765625	n/a	231412	22	condition 22
461.6015625	n/a	236340	2	condition 2
461.8066406	n/a	236445	22	condition 22
469.4511719	n/a	240359	2	condition 2
469.65625	n/a	240464	22	condition 22
478.9277344	n/a	245211	2	condition 2
479.1289062	n/a	245314	22	condition 22
486.1328125	n/a	248900	2	condition 2
486.3339844	n/a	249003	22	condition 22
494.1640625	n/a	253012	2	condition 2
494.3671875	n/a	253116	22	condition 22
501.3691406	n/a	256701	2	condition 2
501.5722656	n/a	256805	22	condition 22
510.8261719	n/a	261543	2	condition 2
511.0332031	n/a	261649	22	condition 22
520.6757812	n/a	266586	2	condition 2
520.8789062	n/a	266690	22	condition 22
528.5234375	n/a	270604	2	condition 2
528.7285156	n/a	270709	22	condition 22
536.5742188	n/a	274726	2	condition 2
536.7792969	n/a	274831	22	condition 22
543.7792969	n/a	278415	2	condition 2
543.9824219	n/a	278519	22	condition 22
551.8300781	n/a	282537	2	condition 2
552.0332031	n/a	282641	22	condition 22
559.6777344	n/a	286555	2	condition 2
559.8828125	n/a	286660	22	condition 22
569.5273438	n/a	291598	2	condition 2
569.7304688	n/a	291702	22	condition 22
571.0195312	n/a	292362	23	condition 23
579.0019531	n/a	296449	2	condition 2
579.2050781	n/a	296553	22	condition 22
586.2226562	n/a	300146	2	condition 2
586.4257812	n/a	300250	22	condition 22
594.2578125	n/a	304260	2	condition 2
594.4609375	n/a	304364	22	condition 22
603.7324219	n/a	309111	2	condition 2
603.9375	n/a	309216	22	condition 22
613.5820312	n/a	314154	2	condition 2
613.7871094	n/a	314259	22	condition 22
621.4296875	n/a	318172	2	condition 2
621.6328125	n/a	318276	22	condition 22
629.4804688	n/a	322294	2	condition 2
629.6835938	n/a	322398	22	condition 22
636.6855469	n/a	325983	2	condition 2
636.8886719	n/a	326087	22	condition 22
644.515625	n/a	329992	2	condition 2
644.7207031	n/a	330097	22	condition 22
653.9921875	n/a	334844	2	condition 2
654.1972656	n/a	334949	22	condition 22
663.8398438	n/a	339886	2	condition 2
664.0429688	n/a	339990	22	condition 22
671.0429688	n/a	343574	2	condition 2
671.2480469	n/a	343679	22	condition 22
679.0800781	n/a	347689	2	condition 2
679.28125	n/a	347792	22	condition 22
686.9257812	n/a	351706	2	condition 2
687.1289062	n/a	351810	22	condition 22
696.7753906	n/a	356749	2	condition 2
696.9785156	n/a	356853	22	condition 22
706.25	n/a	361600	2	condition 2
706.453125	n/a	361704	22	condition 22
714.0976562	n/a	365618	2	condition 2
714.3046875	n/a	365724	22	condition 22
723.5761719	n/a	370471	2	condition 2
723.7773438	n/a	370574	22	condition 22
733.421875	n/a	375512	2	condition 2
733.625	n/a	375616	22	condition 22
741.4726562	n/a	379634	2	condition 2
741.6777344	n/a	379739	22	condition 22
748.6777344	n/a	383323	2	condition 2
748.8808594	n/a	383427	22	condition 22
758.5078125	n/a	388356	2	condition 2
758.7128906	n/a	388461	22	condition 22
767.984375	n/a	393208	2	condition 2
768.1894531	n/a	393313	22	condition 22
775.1875	n/a	396896	2	condition 2
775.3945312	n/a	397002	22	condition 22
783.2226562	n/a	401010	2	condition 2
783.4257812	n/a	401114	22	condition 22
791.0722656	n/a	405029	2	condition 2
791.2734375	n/a	405132	22	condition 22
798.2597656	n/a	408709	2	condition 2
