onset	duration	sample	value	trial_type
1.705078125	n/a	873	2	condition 2
1.91015625	n/a	978	22	condition 22
9.537109375	n/a	4883	2	condition 2
9.7421875	n/a	4988	22	condition 22
17.58789062	n/a	9005	2	condition 2
17.79296875	n/a	9110	22	condition 22
24.79296875	n/a	12694	2	condition 2
24.99609375	n/a	12798	22	condition 22
34.64257812	n/a	17737	2	condition 2
34.84375	n/a	17840	22	condition 22
44.11523438	n/a	22587	2	condition 2
44.3203125	n/a	22692	22	condition 22
51.96484375	n/a	26606	2	condition 2
52.16992188	n/a	26711	22	condition 22
61.8125	n/a	31648	2	condition 2
62.015625	n/a	31752	22	condition 22
69.66015625	n/a	35666	2	condition 2
69.8671875	n/a	35772	22	condition 22
77.71289062	n/a	39789	2	condition 2
77.91601562	n/a	39893	22	condition 22
87.1875	n/a	44640	2	condition 2
87.39257812	n/a	44745	22	condition 22
94.39257812	n/a	48329	2	condition 2
94.59570312	n/a	48433	22	condition 22
102.4257812	n/a	52442	2	condition 2
102.6289062	n/a	52546	22	condition 22
111.9023438	n/a	57294	2	condition 2
112.1054688	n/a	57398	22	condition 22
121.7519531	n/a	62337	2	condition 2
121.953125	n/a	62440	22	condition 22
128.9394531	n/a	66017	2	condition 2
129.140625	n/a	66120	22	condition 22
136.7851562	n/a	70034	2	condition 2
136.9882812	n/a	70138	22	condition 22
143.9882812	n/a	73722	2	condition 2
144.1914062	n/a	73826	22	condition 22
153.8574219	n/a	78775	2	condition 2
154.0585938	n/a	78878	22	condition 22
161.703125	n/a	82792	2	condition 2
161.90625	n/a	82896	22	condition 22
169.7539062	n/a	86914	2	condition 2
169.9570312	n/a	87018	22	condition 22
179.2285156	n/a	91765	2	condition 2
179.4335938	n/a	91870	22	condition 22
189.0957031	n/a	96817	2	condition 2
189.2988281	n/a	96921	22	condition 22
197.1464844	n/a	100939	2	condition 2
197.3515625	n/a	101044	22	condition 22
206.6230469	n/a	105791	2	condition 2
206.8242188	n/a	105894	22	condition 22
214.46875	n/a	109808	2	condition 2
214.6738281	n/a	109913	22	condition 22
221.6894531	n/a	113505	2	condition 2
221.8945312	n/a	113610	22	condition 22
229.7246094	n/a	117619	2	condition 2
229.9277344	n/a	117723	22	condition 22
239.5742188	n/a	122662	2	condition 2
239.7773438	n/a	122766	22	condition 22
247.421875	n/a	126680	2	condition 2
247.625	n/a	126784	22	condition 22
254.625	n/a	130368	2	condition 2
254.828125	n/a	130472	22	condition 22
264.0839844	n/a	135211	2	condition 2
