onset	duration	sample	trial_type
0.5	n/a	256	61444
9.90625	n/a	5072	61442
10.10546875	n/a	5174	61462
21.74804688	n/a	11135	61442
21.94726562	n/a	11237	61462
29.50195312	n/a	15105	61442
29.703125	n/a	15208	61462
40.29296875	n/a	20630	61442
40.49414062	n/a	20733	61462
47.49804688	n/a	24319	61442
47.69921875	n/a	24422	61462
57.2890625	n/a	29332	61442
57.48828125	n/a	29434	61462
65.04296875	n/a	33302	61442
65.24414062	n/a	33405	61462
74.83398438	n/a	38315	61442
75.03320312	n/a	38417	61462
85.62304688	n/a	43839	61442
85.82421875	n/a	43942	61462
92.828125	n/a	47528	61442
93.02929688	n/a	47631	61462
103.578125	n/a	53032	61441
105.1269531	n/a	53825	61451
114.6933594	n/a	58723	61462
121.6992188	n/a	62310	61442
121.8984375	n/a	62412	61462
132.4882812	n/a	67834	61442
132.6875	n/a	67936	61462
140.2441406	n/a	71805	61442
140.4433594	n/a	71907	61462
150.0332031	n/a	76817	61442
150.234375	n/a	76920	61462
157.7890625	n/a	80788	61442
157.9882812	n/a	80890	61462
169.6308594	n/a	86851	61442
169.8300781	n/a	86953	61462
176.8359375	n/a	90540	61442
177.0351562	n/a	90642	61462
186.625	n/a	95552	61442
186.8261719	n/a	95655	61462
197.4160156	n/a	101077	61442
197.6152344	n/a	101179	61462
208.2070312	n/a	106602	61442
208.40625	n/a	106704	61462
215.4121094	n/a	110291	61442
215.6113281	n/a	110393	61462
225.2011719	n/a	115303	61442
225.4023438	n/a	115406	61462
237.0429688	n/a	121366	61442
237.2421875	n/a	121468	61462
244.7988281	n/a	125337	61442
244.9980469	n/a	125439	61462
252.5527344	n/a	129307	61442
252.7539062	n/a	129410	61462
259.7578125	n/a	132996	61442
259.9570312	n/a	133098	61462
270.5488281	n/a	138521	61442
270.75	n/a	138624	61462
280.3378906	n/a	143533	61442
280.5390625	n/a	143636	61462
292.1796875	n/a	149596	61442
292.3789062	n/a	149698	61462
299.9355469	n/a	153567	61442
300.1347656	n/a	153669	61462
309.7246094	n/a	158579	61442
309.9257812	n/a	158682	61462
320.515625	n/a	164104	61442
320.7148438	n/a	164206	61462
327.7207031	n/a	167793	61442
327.9199219	n/a	167895	61462
339.5625	n/a	173856	61442
339.7617188	n/a	173958	61462
346.765625	n/a	177544	61442
