onset	duration	sample	value	trial_type
2.8046875	n/a	1436	2	condition 2
3.00390625	n/a	1538	22	condition 22
10.85351562	n/a	5557	2	condition 2
11.05664062	n/a	5661	22	condition 22
18.05664062	n/a	9245	2	condition 2
18.25976562	n/a	9349	22	condition 22
27.515625	n/a	14088	2	condition 2
27.72070312	n/a	14193	22	condition 22
34.71875	n/a	17776	2	condition 2
34.92382812	n/a	17881	22	condition 22
44.56835938	n/a	22819	2	condition 2
44.77148438	n/a	22923	22	condition 22
52.41601562	n/a	26837	2	condition 2
52.62109375	n/a	26942	22	condition 22
60.46679688	n/a	30959	2	condition 2
60.66992188	n/a	31063	22	condition 22
69.94335938	n/a	35811	2	condition 2
70.14648438	n/a	35915	22	condition 22
77.99414062	n/a	39933	2	condition 2
78.19726562	n/a	40037	22	condition 22
85.19726562	n/a	43621	2	condition 2
85.40234375	n/a	43726	22	condition 22
94.65625	n/a	48464	2	condition 2
94.859375	n/a	48568	22	condition 22
102.5058594	n/a	52483	2	condition 2
102.7089844	n/a	52587	22	condition 22
112.3535156	n/a	57525	2	condition 2
112.5566406	n/a	57629	22	condition 22
119.5566406	n/a	61213	2	condition 2
119.7597656	n/a	61317	22	condition 22
129.4082031	n/a	66257	2	condition 2
129.609375	n/a	66360	22	condition 22
137.4570312	n/a	70378	2	condition 2
137.6621094	n/a	70483	22	condition 22
145.3046875	n/a	74396	2	condition 2
145.5097656	n/a	74501	22	condition 22
154.78125	n/a	79248	2	condition 2
154.984375	n/a	79352	22	condition 22
164.6328125	n/a	84292	2	condition 2
164.8320312	n/a	84394	22	condition 22
172.4765625	n/a	88308	2	condition 2
172.6816406	n/a	88413	22	condition 22
181.953125	n/a	93160	2	condition 2
182.1582031	n/a	93265	22	condition 22
190.0058594	n/a	97283	2	condition 2
190.2070312	n/a	97386	22	condition 22
197.2089844	n/a	100971	2	condition 2
197.4121094	n/a	101075	22	condition 22
206.7011719	n/a	105831	2	condition 2
206.9042969	n/a	105935	22	condition 22
216.5488281	n/a	110873	2	condition 2
216.7519531	n/a	110977	22	condition 22
224.6035156	n/a	114997	2	condition 2
224.8066406	n/a	115101	22	condition 22
232.4648438	n/a	119022	2	condition 2
232.6699219	n/a	119127	22	condition 22
239.6875	n/a	122720	2	condition 2
239.890625	n/a	122824	22	condition 22
249.5214844	n/a	127755	2	condition 2
249.7207031	n/a	127857	22	condition 22
256.7050781	n/a	131433	2	condition 2
256.9082031	n/a	131537	22	condition 22
264.5546875	n/a	135452	2	condition 2
264.7558594	n/a	135555	22	condition 22
272.6054688	n/a	139574	2	condition 2
272.8085938	n/a	139678	22	condition 22
282.0800781	n/a	144425	2	condition 2
282.2832031	n/a	144529	22	condition 22
284.5722656	n/a	145701	13	condition 13
297.6757812	n/a	152410	2	condition 2
297.8789062	n/a	152514	22	condition 22
305.5253906	n/a	156429	2	condition 2
305.7265625	n/a	156532	22	condition 22
314.9980469	n/a	161279	2	condition 2
315.2011719	n/a	161383	22	condition 22
322.1855469	n/a	164959	2	condition 2
322.3886719	n/a	165063	22	condition 22
330.0332031	n/a	168977	2	condition 2
330.2402344	n/a	169083	22	condition 22
338.0859375	n/a	173100	2	condition 2
338.2890625	n/a	173204	22	condition 22
347.578125	n/a	177960	2	condition 2
347.7832031	n/a	178065	22	condition 22
354.78125	n/a	181648	2	condition 2
354.984375	n/a	181752	22	condition 22
364.6132812	n/a	186682	2	condition 2
364.8164062	n/a	186786	22	condition 22
374.0878906	n/a	191533	2	condition 2
374.2910156	n/a	191637	22	condition 22
383.9375	n/a	196576	2	condition 2
384.1425781	n/a	196681	22	condition 22
391.7851562	n/a	200594	2	condition 2
391.9882812	n/a	200698	22	condition 22
398.9882812	n/a	204282	2	condition 2
399.1933594	n/a	204387	22	condition 22
407.0253906	n/a	208397	2	condition 2
407.2265625	n/a	208500	22	condition 22
416.5	n/a	213248	2	condition 2
416.703125	n/a	213352	22	condition 22
423.6855469	n/a	216927	2	condition 2
423.8886719	n/a	217031	22	condition 22
433.5351562	n/a	221970	2	condition 2
433.7382812	n/a	222074	22	condition 22
441.3828125	n/a	225988	2	condition 2
441.5859375	n/a	226092	22	condition 22
449.4355469	n/a	230111	2	condition 2
449.6386719	n/a	230215	22	condition 22
456.640625	n/a	233800	2	condition 2
456.84375	n/a	233904	22	condition 22
466.46875	n/a	238832	2	condition 2
466.6738281	n/a	238937	22	condition 22
475.9453125	n/a	243684	2	condition 2
476.1484375	n/a	243788	22	condition 22
484.0136719	n/a	247815	2	condition 2
484.2167969	n/a	247919	22	condition 22
491.8613281	n/a	251833	2	condition 2
492.0664062	n/a	251938	22	condition 22
501.7089844	n/a	256875	2	condition 2
501.9121094	n/a	256979	22	condition 22
511.1855469	n/a	261727	2	condition 2
511.3886719	n/a	261831	22	condition 22
519.0351562	n/a	265746	2	condition 2
519.2363281	n/a	265849	22	condition 22
527.0839844	n/a	269867	2	condition 2
527.2890625	n/a	269972	22	condition 22
534.2714844	n/a	273547	2	condition 2
534.4785156	n/a	273653	22	condition 22
542.1210938	n/a	277566	2	condition 2
542.3242188	n/a	277670	22	condition 22
550.1738281	n/a	281689	2	condition 2
550.375	n/a	281792	22	condition 22
557.359375	n/a	285368	2	condition 2
557.5625	n/a	285472	22	condition 22
566.8339844	n/a	290219	2	condition 2
567.0371094	n/a	290323	22	condition 22
576.6816406	n/a	295261	2	condition 2
576.8886719	n/a	295367	22	condition 22
583.8867188	n/a	298950	2	condition 2
584.0898438	n/a	299054	22	condition 22
591.921875	n/a	303064	2	condition 2
592.125	n/a	303168	22	condition 22
599.7734375	n/a	307084	2	condition 2
599.9726562	n/a	307186	22	condition 22
609.2460938	n/a	311934	2	condition 2
609.4472656	n/a	312037	22	condition 22
619.09375	n/a	316976	2	condition 2
619.296875	n/a	317080	22	condition 22
627.1445312	n/a	321098	2	condition 2
627.3476562	n/a	321202	22	condition 22
636.6210938	n/a	325950	2	condition 2
636.8242188	n/a	326054	22	condition 22
646.4707031	n/a	330993	2	condition 2
646.671875	n/a	331096	22	condition 22
654.3164062	n/a	335010	2	condition 2
654.5195312	n/a	335114	22	condition 22
661.5195312	n/a	338698	2	condition 2
661.7246094	n/a	338803	22	condition 22
669.5585938	n/a	342814	2	condition 2
669.7578125	n/a	342916	22	condition 22
676.7597656	n/a	346501	2	condition 2
676.9628906	n/a	346605	22	condition 22
686.5898438	n/a	351534	2	condition 2
686.796875	n/a	351640	22	condition 22
696.0683594	n/a	356387	2	condition 2
696.2714844	n/a	356491	22	condition 22
703.9140625	n/a	360404	2	condition 2
704.1171875	n/a	360508	22	condition 22
713.3886719	n/a	365255	2	condition 2
713.5917969	n/a	365359	22	condition 22
721.2382812	n/a	369274	2	condition 2
