onset	duration	sample	value	trial_type
0.4375	n/a	224	4	condition 4
5.41015625	n/a	2770	2	condition 2
5.611328125	n/a	2873	22	condition 22
15.25585938	n/a	7811	2	condition 2
15.45898438	n/a	7915	22	condition 22
23.12304688	n/a	11839	2	condition 2
23.32421875	n/a	11942	22	condition 22
32.59765625	n/a	16690	2	condition 2
32.80078125	n/a	16794	22	condition 22
40.65039062	n/a	20813	2	condition 2
40.8515625	n/a	20916	22	condition 22
47.83789062	n/a	24493	2	condition 2
48.0390625	n/a	24596	22	condition 22
57.68554688	n/a	29535	2	condition 2
57.88867188	n/a	29639	22	condition 22
65.55078125	n/a	33562	2	condition 2
65.75390625	n/a	33666	22	condition 22
75.02539062	n/a	38413	2	condition 2
75.22851562	n/a	38517	22	condition 22
84.5	n/a	43264	2	condition 2
84.70507812	n/a	43369	22	condition 22
92.55273438	n/a	47387	2	condition 2
92.75585938	n/a	47491	22	condition 22
99.7578125	n/a	51076	2	condition 2
99.9609375	n/a	51180	22	condition 22
107.5878906	n/a	55085	2	condition 2
107.7910156	n/a	55189	22	condition 22
117.4355469	n/a	60127	2	condition 2
117.640625	n/a	60232	22	condition 22
125.2851562	n/a	64146	2	condition 2
125.4902344	n/a	64251	22	condition 22
132.4882812	n/a	67834	2	condition 2
132.6914062	n/a	67938	22	condition 22
141.9472656	n/a	72677	2	condition 2
142.1523438	n/a	72782	22	condition 22
149.9980469	n/a	76799	2	condition 2
150.203125	n/a	76904	22	condition 22
159.8476562	n/a	81842	2	condition 2
160.0507812	n/a	81946	22	condition 22
169.6953125	n/a	86884	2	condition 2
169.8984375	n/a	86988	22	condition 22
176.9003906	n/a	90573	2	condition 2
177.1035156	n/a	90677	22	condition 22
186.359375	n/a	95416	2	condition 2
186.5625	n/a	95520	22	condition 22
187.8496094	n/a	96179	23	condition 23
194.2070312	n/a	99434	2	condition 2
194.4101562	n/a	99538	22	condition 22
202.2597656	n/a	103557	2	condition 2
202.4628906	n/a	103661	22	condition 22
211.734375	n/a	108408	2	condition 2
211.9375	n/a	108512	22	condition 22
