onset	duration	sample	value	trial_type
5.642578125	n/a	2889	2	condition 2
5.845703125	n/a	2993	22	condition 22
7.13671875	n/a	3654	23	condition 23
12.86328125	n/a	6586	2	condition 2
13.06640625	n/a	6690	22	condition 22
20.69726562	n/a	10597	2	condition 2
20.8984375	n/a	10700	22	condition 22
30.16992188	n/a	15447	2	condition 2
30.375	n/a	15552	22	condition 22
31.66210938	n/a	16211	23	condition 23
38.22460938	n/a	19571	2	condition 2
38.42578125	n/a	19674	22	condition 22
47.69921875	n/a	24422	2	condition 2
47.90234375	n/a	24526	22	condition 22
54.88671875	n/a	28102	2	condition 2
55.08789062	n/a	28205	22	condition 22
62.734375	n/a	32120	2	condition 2
62.9375	n/a	32224	22	condition 22
72.58203125	n/a	37162	2	condition 2
72.78515625	n/a	37266	22	condition 22
80.63671875	n/a	41286	2	condition 2
80.83789062	n/a	41389	22	condition 22
88.48242188	n/a	45303	2	condition 2
88.68554688	n/a	45407	22	condition 22
97.97460938	n/a	50163	2	condition 2
98.17773438	n/a	50267	22	condition 22
105.1777344	n/a	53851	2	condition 2
105.3828125	n/a	53956	22	condition 22
115.0097656	n/a	58885	2	condition 2
115.2128906	n/a	58989	22	condition 22
122.859375	n/a	62904	2	condition 2
123.0625	n/a	63008	22	condition 22
130.0625	n/a	66592	2	condition 2
130.265625	n/a	66696	22	condition 22
138.0976562	n/a	70706	2	condition 2
138.3007812	n/a	70810	22	condition 22
147.5722656	n/a	75557	2	condition 2
147.7753906	n/a	75661	22	condition 22
157.421875	n/a	80600	2	condition 2
157.625	n/a	80704	22	condition 22
166.8964844	n/a	85451	2	condition 2
167.0996094	n/a	85555	22	condition 22
174.7460938	n/a	89470	2	condition 2
174.9511719	n/a	89575	22	condition 22
184.59375	n/a	94512	2	condition 2
184.796875	n/a	94616	22	condition 22
191.7988281	n/a	98201	2	condition 2
192.0019531	n/a	98305	22	condition 22
199.8339844	n/a	102315	2	condition 2
200.0351562	n/a	102418	22	condition 22
207.0214844	n/a	105995	2	condition 2
207.2226562	n/a	106098	22	condition 22
214.8671875	n/a	110012	2	condition 2
215.0722656	n/a	110117	22	condition 22
224.34375	n/a	114864	2	condition 2
224.5488281	n/a	114969	22	condition 22
232.3945312	n/a	118986	2	condition 2
232.5996094	n/a	119091	22	condition 22
242.2636719	n/a	124039	2	condition 2
242.4648438	n/a	124142	22	condition 22
251.7363281	n/a	128889	2	condition 2
251.9394531	n/a	128993	22	condition 22
261.5839844	n/a	133931	2	condition 2
261.7890625	n/a	134036	22	condition 22
263.0761719	n/a	134695	23	condition 23
268.7890625	n/a	137620	2	condition 2
268.9921875	n/a	137724	22	condition 22
276.8242188	n/a	141734	2	condition 2
277.0273438	n/a	141838	22	condition 22
284.6738281	n/a	145753	2	condition 2
284.875	n/a	145856	22	condition 22
292.5195312	n/a	149770	2	condition 2
292.7246094	n/a	149875	22	condition 22
300.5722656	n/a	153893	2	condition 2
300.7753906	n/a	153997	22	condition 22
310.4199219	n/a	158935	2	condition 2
310.625	n/a	159040	22	condition 22
319.8984375	n/a	163788	2	condition 2
320.0996094	n/a	163891	22	condition 22
327.1015625	n/a	167476	2	condition 2
327.3027344	n/a	167579	22	condition 22
335.1347656	n/a	171589	2	condition 2
335.3378906	n/a	171693	22	condition 22
342.3398438	n/a	175278	2	condition 2
342.5429688	n/a	175382	22	condition 22
352.1699219	n/a	180311	2	condition 2
352.3730469	n/a	180415	22	condition 22
360.0195312	n/a	184330	2	condition 2
360.2246094	n/a	184435	22	condition 22
369.4941406	n/a	189181	2	condition 2
369.6992188	n/a	189286	22	condition 22
376.6992188	n/a	192870	2	condition 2
376.9042969	n/a	192975	22	condition 22
386.5292969	n/a	197903	2	condition 2
386.7324219	n/a	198007	22	condition 22
394.3808594	n/a	201923	2	condition 2
394.5820312	n/a	202026	22	condition 22
403.8554688	n/a	206774	2	condition 2
404.0566406	n/a	206877	22	condition 22
411.90625	n/a	210896	2	condition 2
412.1113281	n/a	211001	22	condition 22
419.7539062	n/a	214914	2	condition 2
419.9570312	n/a	215018	22	condition 22
429.6035156	n/a	219957	2	condition 2
429.8066406	n/a	220061	22	condition 22
439.078125	n/a	224808	2	condition 2
439.28125	n/a	224912	22	condition 22
446.2675781	n/a	228489	2	condition 2
446.46875	n/a	228592	22	condition 22
454.3164062	n/a	232610	2	condition 2
454.5214844	n/a	232715	22	condition 22
464.1660156	n/a	237653	2	condition 2
464.3691406	n/a	237757	22	condition 22
473.640625	n/a	242504	2	condition 2
473.84375	n/a	242608	22	condition 22
480.8457031	n/a	246193	2	condition 2
481.0488281	n/a	246297	22	condition 22
488.8789062	n/a	250306	2	condition 2
489.0839844	n/a	250411	22	condition 22
496.7285156	n/a	254325	2	condition 2
496.9335938	n/a	254430	22	condition 22
503.9316406	n/a	258013	2	condition 2
504.1347656	n/a	258117	22	condition 22
511.9667969	n/a	262127	2	condition 2
512.1699219	n/a	262231	22	condition 22
519.8164062	n/a	266146	2	condition 2
520.0175781	n/a	266249	22	condition 22
529.6640625	n/a	271188	2	condition 2
529.8671875	n/a	271292	22	condition 22
539.1386719	n/a	276039	2	condition 2
539.3417969	n/a	276143	22	condition 22
547.1914062	n/a	280162	2	condition 2
547.3945312	n/a	280266	22	condition 22
554.4121094	n/a	283859	2	condition 2
554.6152344	n/a	283963	22	condition 22
563.8710938	n/a	288702	2	condition 2
564.0742188	n/a	288806	22	condition 22
571.71875	n/a	292720	2	condition 2
571.921875	n/a	292824	22	condition 22
581.5664062	n/a	297762	2	condition 2
