onset	duration	sample	trial_type
0.765625	n/a	392	61440
7.43359375	n/a	3806	61442
7.6328125	n/a	3908	61462
14.63867188	n/a	7495	61442
14.83789062	n/a	7597	61462
22.39257812	n/a	11465	61442
22.59375	n/a	11568	61462
33.18359375	n/a	16990	61442
33.38476562	n/a	17093	61462
40.38867188	n/a	20679	61442
40.58984375	n/a	20782	61462
48.14453125	n/a	24650	61442
48.34375	n/a	24752	61462
58.93554688	n/a	30175	61442
59.13476562	n/a	30277	61462
68.72460938	n/a	35187	61442
68.92382812	n/a	35289	61462
80.56640625	n/a	41250	61442
80.765625	n/a	41352	61462
88.32226562	n/a	45221	61442
88.52148438	n/a	45323	61462
99.11132812	n/a	50745	61442
99.3125	n/a	50848	61462
108.9003906	n/a	55757	61442
109.1015625	n/a	55860	61462
116.1074219	n/a	59447	61442
116.3066406	n/a	59549	61462
127.9472656	n/a	65509	61442
128.1484375	n/a	65612	61462
135.1523438	n/a	69198	61442
135.3515625	n/a	69300	61462
145.9433594	n/a	74723	61442
146.1425781	n/a	74825	61462
157.7832031	n/a	80785	61442
157.984375	n/a	80888	61462
167.5742188	n/a	85798	61442
167.7734375	n/a	85900	61462
169.0585938	n/a	86558	61463
175.3300781	n/a	89769	61442
175.5292969	n/a	89871	61462
187.1699219	n/a	95831	61442
187.3710938	n/a	95934	61462
196.9609375	n/a	100844	61442
197.1601562	n/a	100946	61462
204.7148438	n/a	104814	61442
204.9160156	n/a	104917	61462
211.9199219	n/a	108503	61442
212.1210938	n/a	108606	61462
222.7109375	n/a	114028	61442
222.9121094	n/a	114131	61462
234.5527344	n/a	120091	61442
234.7519531	n/a	120193	61462
241.7578125	n/a	123780	61442
241.9570312	n/a	123882	61462
252.546875	n/a	129304	61442
252.7480469	n/a	129407	61462
262.3378906	n/a	134317	61442
262.5390625	n/a	134420	61462
270.0917969	n/a	138287	61442
270.2929688	n/a	138390	61462
279.8828125	n/a	143300	61442
280.0820312	n/a	143402	61462
287.6386719	n/a	147271	61442
287.8378906	n/a	147373	61462
299.4804688	n/a	153334	61442
299.6796875	n/a	153436	61462
306.6855469	n/a	157023	61442
306.8847656	n/a	157125	61462
317.4746094	n/a	162547	61442
317.6757812	n/a	162650	61462
324.6796875	n/a	166236	61442
324.8808594	n/a	166339	61462
334.46875	n/a	171248	61442
334.6699219	n/a	171351	61462
335.953125	n/a	172008	61463
345.2597656	n/a	176773	61442
345.4609375	n/a	176876	61462
357.1015625	n/a	182836	61442
357.3007812	n/a	182938	61462
364.8574219	n/a	186807	61442
365.0566406	n/a	186909	61462
374.6464844	n/a	191819	61442
374.8457031	n/a	191921	61462
385.4375	n/a	197344	61442
385.6367188	n/a	197446	61462
393.1914062	n/a	201314	61442
393.3925781	n/a	201417	61462
405.0332031	n/a	207377	61442
405.234375	n/a	207480	61462
412.2382812	n/a	211066	61442
412.4375	n/a	211168	61462
419.9941406	n/a	215037	61442
420.1933594	n/a	215139	61462
430.7832031	n/a	220561	61442
430.984375	n/a	220664	61462
440.5742188	n/a	225574	61442
440.7734375	n/a	225676	61462
452.4160156	n/a	231637	61442
452.6152344	n/a	231739	61462
459.6191406	n/a	235325	61442
459.8203125	n/a	235428	61462
467.375	n/a	239296	61442
467.5742188	n/a	239398	61462
479.2167969	n/a	245359	61442
479.4160156	n/a	245461	61462
490.0058594	n/a	250883	61442
490.2070312	n/a	250986	61462
499.7949219	n/a	255895	61442
499.9960938	n/a	255998	61462
507.0019531	n/a	259585	61442
507.2011719	n/a	259687	61462
514.7558594	n/a	263555	61442
514.9570312	n/a	263658	61462
525.546875	n/a	269080	61442
525.7480469	n/a	269183	61462
535.3378906	n/a	274093	61442
535.5371094	n/a	274195	61462
547.1777344	n/a	280155	61442
547.3789062	n/a	280258	61462
554.3828125	n/a	283844	61442
554.5839844	n/a	283947	61462
564.1738281	n/a	288857	61442
564.3730469	n/a	288959	61462
576.0136719	n/a	294919	61442
576.2148438	n/a	295022	61462
583.21875	n/a	298608	61442
583.4199219	n/a	298711	61462
590.9746094	n/a	302579	61442
591.1738281	n/a	302681	61462
601.765625	n/a	308104	61442
601.9648438	n/a	308206	61462
609.5195312	n/a	312074	61442
609.7207031	n/a	312177	61462
619.3105469	n/a	317087	61442
619.5097656	n/a	317189	61462
626.515625	n/a	320776	61442
626.7148438	n/a	320878	61462
637.3046875	n/a	326300	61442
637.5058594	n/a	326403	61462
638.7890625	n/a	327060	61463
649.1464844	n/a	332363	61442
649.3476562	n/a	332466	61462
656.3515625	n/a	336052	61442
656.5507812	n/a	336154	61462
667.1425781	n/a	341577	61442
667.3417969	n/a	341679	61462
676.9316406	n/a	346589	61442
677.1328125	n/a	346692	61462
678.4160156	n/a	347349	61463
684.6875	n/a	350560	61442
684.8867188	n/a	350662	61462
696.5292969	n/a	356623	61442
696.7285156	n/a	356725	61462
706.3183594	n/a	361635	61442
706.5175781	n/a	361737	61462
714.0742188	n/a	365606	61442
714.2734375	n/a	365708	61462
721.2773438	n/a	369294	61442
721.4785156	n/a	369397	61462
733.1191406	n/a	375357	61442
733.3203125	n/a	375460	61462
743.9101562	n/a	380882	61442
744.109375	n/a	380984	61462
754.7011719	n/a	386407	61442
754.9003906	n/a	386509	61462
766.5429688	n/a	392470	61442
766.7421875	n/a	392572	61462
776.3320312	n/a	397482	61442
776.5332031	n/a	397585	61462
783.5371094	n/a	401171	61442
783.7363281	n/a	401273	61462
791.2910156	n/a	405141	61442
791.4921875	n/a	405244	61462
793.7773438	n/a	406414	61453
836.34375	n/a	428208	61449
838.1738281	n/a	429145	61547
843.6386719	n/a	431943	61462
850.6425781	n/a	435529	61442
850.84375	n/a	435632	61462
860.4335938	n/a	440542	61442
860.6328125	n/a	440644	61462
872.2753906	n/a	446605	61442
872.4746094	n/a	446707	61462
883.0644531	n/a	452129	61442
883.265625	n/a	452232	61462
890.8203125	n/a	456100	61442
891.0195312	n/a	456202	61462
901.6113281	n/a	461625	61442
901.8105469	n/a	461727	61462
913.4511719	n/a	467687	61442
913.6523438	n/a	467790	61462
920.65625	n/a	471376	61442
920.8574219	n/a	471479	61462
930.4472656	n/a	476389	61442
930.6464844	n/a	476491	61462
941.2382812	n/a	481914	61442
941.4375	n/a	482016	61462
948.4414062	n/a	485602	61442
948.6425781	n/a	485705	61462
949.9257812	n/a	486362	61463
960.2832031	n/a	491665	61442
960.484375	n/a	491768	61462
968.0390625	n/a	495636	61442
968.2382812	n/a	495738	61462
977.828125	n/a	500648	61442
978.0292969	n/a	500751	61462
987.6191406	n/a	505661	61442
987.8183594	n/a	505763	61462
998.4082031	n/a	511185	61442
998.609375	n/a	511288	61462
999.8925781	n/a	511945	61463
1010.25	n/a	517248	61442
1010.451172	n/a	517351	61462
1011.734375	n/a	518008	61463
1018.005859	n/a	521219	61442
1018.205078	n/a	521321	61462
1025.210938	n/a	524908	61442
1025.410156	n/a	525010	61462
1032.416016	n/a	528597	61442
1032.615234	n/a	528699	61462
1042.205078	n/a	533609	61442
1042.404297	n/a	533711	61462
1043.689453	n/a	534369	61463
1054.046875	n/a	539672	61442
1054.246094	n/a	539774	61462
1064.837891	n/a	545197	61442
1065.037109	n/a	545299	61462
1066.320312	n/a	545956	61463
1072.591797	n/a	549167	61442
1072.792969	n/a	549270	61462
1083.382812	n/a	554692	61442
1083.582031	n/a	554794	61462
1093.171875	n/a	559704	61442
1093.373047	n/a	559807	61462
1100.927734	n/a	563675	61442
1101.128906	n/a	563778	61462
1108.132812	n/a	567364	61442
1108.332031	n/a	567466	61462
1119.974609	n/a	573427	61442
1120.173828	n/a	573529	61462
1129.763672	n/a	578439	61442
1129.964844	n/a	578542	61462
1141.605469	n/a	584502	61442
1141.804688	n/a	584604	61462
1152.396484	n/a	590027	61442
1152.595703	n/a	590129	61462
1159.599609	n/a	593715	61442
1159.800781	n/a	593818	61462
1167.355469	n/a	597686	61442
1167.556641	n/a	597789	61462
1174.560547	n/a	601375	61442
1174.759766	n/a	601477	61462
1185.351562	n/a	606900	61442
1185.550781	n/a	607002	61462
1193.107422	n/a	610871	61442
1193.306641	n/a	610973	61462
1204.947266	n/a	616933	61442
1205.148438	n/a	617036	61462
1214.738281	n/a	621946	61442
1214.9375	n/a	622048	61462
1225.527344	n/a	627470	61442
1225.728516	n/a	627573	61462
1237.369141	n/a	633533	61442
1237.570312	n/a	633636	61462
1238.853516	n/a	634293	61463
1247.160156	n/a	638546	61442
1247.359375	n/a	638648	61462
1254.363281	n/a	642234	61442
1254.564453	n/a	642337	61462
1262.119141	n/a	646205	61442
1262.320312	n/a	646308	61462
1271.908203	n/a	651217	61442
1272.109375	n/a	651320	61462
1282.699219	n/a	656742	61442
1282.900391	n/a	656845	61462
1284.183594	n/a	657502	61463
1289.904297	n/a	660431	61442
1290.105469	n/a	660534	61462
1301.746094	n/a	666494	61442
1301.945312	n/a	666596	61462
1309.501953	n/a	670465	61442
1309.701172	n/a	670567	61462
1319.291016	n/a	675477	61442
1319.490234	n/a	675579	61462
1331.132812	n/a	681540	61442
1331.332031	n/a	681642	61462
1338.337891	n/a	685229	61442
