onset	duration	sample	value	trial_type
0.875	n/a	448	22	condition 22
7.08203125	n/a	3626	2	condition 2
7.28515625	n/a	3730	22	condition 22
14.91210938	n/a	7635	2	condition 2
15.1171875	n/a	7740	22	condition 22
22.96484375	n/a	11758	2	condition 2
23.16796875	n/a	11862	22	condition 22
30.16796875	n/a	15446	2	condition 2
30.37109375	n/a	15550	22	condition 22
40.015625	n/a	20488	2	condition 2
40.22070312	n/a	20593	22	condition 22
49.4921875	n/a	25340	2	condition 2
49.6953125	n/a	25444	22	condition 22
57.33984375	n/a	29358	2	condition 2
57.54492188	n/a	29463	22	condition 22
67.1875	n/a	34400	2	condition 2
67.390625	n/a	34504	22	condition 22
76.6640625	n/a	39252	2	condition 2
76.8671875	n/a	39356	22	condition 22
83.8671875	n/a	42940	2	condition 2
84.0703125	n/a	43044	22	condition 22
91.90234375	n/a	47054	2	condition 2
92.10546875	n/a	47158	22	condition 22
101.75	n/a	52096	2	condition 2
101.953125	n/a	52200	22	condition 22
111.2246094	n/a	56947	2	condition 2
111.4316406	n/a	57053	22	condition 22
118.4296875	n/a	60636	2	condition 2
118.6347656	n/a	60741	22	condition 22
126.4648438	n/a	64750	2	condition 2
126.6679688	n/a	64854	22	condition 22
134.3300781	n/a	68777	2	condition 2
134.5332031	n/a	68881	22	condition 22
143.8046875	n/a	73628	2	condition 2
144.0078125	n/a	73732	22	condition 22
151.8574219	n/a	77751	2	condition 2
152.0585938	n/a	77854	22	condition 22
159.703125	n/a	81768	2	condition 2
159.9082031	n/a	81873	22	condition 22
166.9082031	n/a	85457	2	condition 2
167.1113281	n/a	85561	22	condition 22
176.7578125	n/a	90500	2	condition 2
176.9589844	n/a	90603	22	condition 22
186.6054688	n/a	95542	2	condition 2
186.8085938	n/a	95646	22	condition 22
196.0976562	n/a	100402	2	condition 2
196.3007812	n/a	100506	22	condition 22
203.9453125	n/a	104420	2	condition 2
204.1484375	n/a	104524	22	condition 22
211.1484375	n/a	108108	2	condition 2
211.3515625	n/a	108212	22	condition 22
219.1835938	n/a	112222	2	condition 2
219.3867188	n/a	112326	22	condition 22
227.03125	n/a	116240	2	condition 2
227.234375	n/a	116344	22	condition 22
235.0996094	n/a	120371	2	condition 2
235.3027344	n/a	120475	22	condition 22
242.3046875	n/a	124060	2	condition 2
242.5078125	n/a	124164	22	condition 22
252.1347656	n/a	129093	2	condition 2
252.3378906	n/a	129197	22	condition 22
261.6113281	n/a	133945	2	condition 2
261.8164062	n/a	134050	22	condition 22
263.1015625	n/a	134708	23	condition 23
271.0878906	n/a	138797	2	condition 2
271.2890625	n/a	138900	22	condition 22
278.9335938	n/a	142814	2	condition 2
279.1367188	n/a	142918	22	condition 22
287.0019531	n/a	146945	2	condition 2
287.2050781	n/a	147049	22	condition 22
294.2070312	n/a	150634	2	condition 2
294.4101562	n/a	150738	22	condition 22
304.0371094	n/a	155667	2	condition 2
304.2441406	n/a	155773	22	condition 22
313.5136719	n/a	160519	2	condition 2
313.7167969	n/a	160623	22	condition 22
321.3613281	n/a	164537	2	condition 2
321.5644531	n/a	164641	22	condition 22
331.2109375	n/a	169580	2	condition 2
331.4121094	n/a	169683	22	condition 22
339.2617188	n/a	173702	2	condition 2
339.4648438	n/a	173806	22	condition 22
346.4648438	n/a	177390	2	condition 2
346.6679688	n/a	177494	22	condition 22
354.5	n/a	181504	2	condition 2
354.703125	n/a	181608	22	condition 22
361.703125	n/a	185192	2	condition 2
361.90625	n/a	185296	22	condition 22
371.5351562	n/a	190226	2	condition 2
371.7402344	n/a	190331	22	condition 22
379.3828125	n/a	194244	2	condition 2
379.5859375	n/a	194348	22	condition 22
388.8574219	n/a	199095	2	condition 2
389.0625	n/a	199200	22	condition 22
396.7070312	n/a	203114	2	condition 2
396.9101562	n/a	203218	22	condition 22
406.5546875	n/a	208156	2	condition 2
406.7578125	n/a	208260	22	condition 22
414.6054688	n/a	212278	2	condition 2
414.8105469	n/a	212383	22	condition 22
421.8105469	n/a	215967	2	condition 2
422.0136719	n/a	216071	22	condition 22
431.2695312	n/a	220810	2	condition 2
431.4726562	n/a	220914	22	condition 22
440.7441406	n/a	225661	2	condition 2
440.9472656	n/a	225765	22	condition 22
450.59375	n/a	230704	2	condition 2
450.7949219	n/a	230807	22	condition 22
457.78125	n/a	234384	2	condition 2
457.9824219	n/a	234487	22	condition 22
465.8300781	n/a	238505	2	condition 2
466.0371094	n/a	238611	22	condition 22
