onset	duration	sample	value	trial_type
7.40234375	n/a	3790	2	condition 2
7.603515625	n/a	3893	22	condition 22
17.24804688	n/a	8831	2	condition 2
17.45117188	n/a	8935	22	condition 22
25.09765625	n/a	12850	2	condition 2
25.30078125	n/a	12954	22	condition 22
32.28515625	n/a	16530	2	condition 2
32.48632812	n/a	16633	22	condition 22
40.3359375	n/a	20652	2	condition 2
40.54101562	n/a	20757	22	condition 22
49.81054688	n/a	25503	2	condition 2
50.015625	n/a	25608	22	condition 22
57.015625	n/a	29192	2	condition 2
57.22070312	n/a	29297	22	condition 22
64.84570312	n/a	33201	2	condition 2
65.04882812	n/a	33305	22	condition 22
74.69726562	n/a	38245	2	condition 2
74.8984375	n/a	38348	22	condition 22
82.74609375	n/a	42366	2	condition 2
82.94921875	n/a	42470	22	condition 22
92.59570312	n/a	47409	2	condition 2
92.79882812	n/a	47513	22	condition 22
100.6484375	n/a	51532	2	condition 2
100.8496094	n/a	51635	22	condition 22
110.1230469	n/a	56383	2	condition 2
110.3261719	n/a	56487	22	condition 22
117.3261719	n/a	60071	2	condition 2
117.5292969	n/a	60175	22	condition 22
125.1582031	n/a	64081	2	condition 2
125.3613281	n/a	64185	22	condition 22
135.0058594	n/a	69123	2	condition 2
135.2089844	n/a	69227	22	condition 22
143.0605469	n/a	73247	2	condition 2
143.2617188	n/a	73350	22	condition 22
152.5351562	n/a	78098	2	condition 2
152.7363281	n/a	78201	22	condition 22
160.3808594	n/a	82115	2	condition 2
160.5859375	n/a	82220	22	condition 22
167.5859375	n/a	85804	2	condition 2
167.7890625	n/a	85908	22	condition 22
174.7734375	n/a	89484	2	condition 2
174.9765625	n/a	89588	22	condition 22
182.8085938	n/a	93598	2	condition 2
183.0117188	n/a	93702	22	condition 22
192.65625	n/a	98640	2	condition 2
192.8613281	n/a	98745	22	condition 22
200.5039062	n/a	102658	2	condition 2
200.7070312	n/a	102762	22	condition 22
209.9804688	n/a	107510	2	condition 2
210.1835938	n/a	107614	22	condition 22
217.828125	n/a	111528	2	condition 2
218.03125	n/a	111632	22	condition 22
225.015625	n/a	115208	2	condition 2
225.21875	n/a	115312	22	condition 22
234.4921875	n/a	120060	2	condition 2
234.6953125	n/a	120164	22	condition 22
242.5449219	n/a	124183	2	condition 2
242.7460938	n/a	124286	22	condition 22
252.390625	n/a	129224	2	condition 2
252.59375	n/a	129328	22	condition 22
260.4609375	n/a	133356	2	condition 2
260.6640625	n/a	133460	22	condition 22
270.2910156	n/a	138389	2	condition 2
270.4960938	n/a	138494	22	condition 22
279.7695312	n/a	143242	2	condition 2
279.9707031	n/a	143345	22	condition 22
287.6152344	n/a	147259	2	condition 2
287.8183594	n/a	147363	22	condition 22
294.8203125	n/a	150948	2	condition 2
295.0234375	n/a	151052	22	condition 22
302.0234375	n/a	154636	2	condition 2
302.2265625	n/a	154740	22	condition 22
309.8574219	n/a	158647	2	condition 2
310.0585938	n/a	158750	22	condition 22
319.3300781	n/a	163497	2	condition 2
319.5332031	n/a	163601	22	condition 22
329.1796875	n/a	168540	2	condition 2
329.3828125	n/a	168644	22	condition 22
337.2304688	n/a	172662	2	condition 2
337.4335938	n/a	172766	22	condition 22
346.7070312	n/a	177514	2	condition 2
