onset	duration	sample	value	trial_type
0.37109375	n/a	190	2	condition 2
0.576171875	n/a	295	22	condition 22
8.220703125	n/a	4209	2	condition 2
8.423828125	n/a	4313	22	condition 22
16.2734375	n/a	8332	2	condition 2
16.47460938	n/a	8435	22	condition 22
23.4765625	n/a	12020	2	condition 2
23.6796875	n/a	12124	22	condition 22
30.6640625	n/a	15700	2	condition 2
30.86914062	n/a	15805	22	condition 22
40.49414062	n/a	20733	2	condition 2
40.69726562	n/a	20837	22	condition 22
48.34375	n/a	24752	2	condition 2
48.546875	n/a	24856	22	condition 22
56.39453125	n/a	28874	2	condition 2
56.59765625	n/a	28978	22	condition 22
65.87109375	n/a	33726	2	condition 2
66.07617188	n/a	33831	22	condition 22
73.921875	n/a	37848	2	condition 2
74.125	n/a	37952	22	condition 22
81.12695312	n/a	41537	2	condition 2
81.33007812	n/a	41641	22	condition 22
90.9765625	n/a	46580	2	condition 2
91.17773438	n/a	46683	22	condition 22
98.82226562	n/a	50597	2	condition 2
99.02539062	n/a	50701	22	condition 22
108.2988281	n/a	55449	2	condition 2
108.5039062	n/a	55554	22	condition 22
116.1464844	n/a	59467	2	condition 2
116.3496094	n/a	59571	22	condition 22
124.1992188	n/a	63590	2	condition 2
124.4023438	n/a	63694	22	condition 22
131.4023438	n/a	67278	2	condition 2
131.6054688	n/a	67382	22	condition 22
140.8613281	n/a	72121	2	condition 2
141.0644531	n/a	72225	22	condition 22
150.7089844	n/a	77163	2	condition 2
150.9140625	n/a	77268	22	condition 22
153.2011719	n/a	78439	13	condition 13
201.1757812	n/a	103002	2	condition 2
201.3789062	n/a	103106	22	condition 22
209.0234375	n/a	107020	2	condition 2
209.2304688	n/a	107126	22	condition 22
216.2285156	n/a	110709	2	condition 2
216.4316406	n/a	110813	22	condition 22
225.6875	n/a	115552	2	condition 2
225.8925781	n/a	115657	22	condition 22
233.5351562	n/a	119570	2	condition 2
233.7382812	n/a	119674	22	condition 22
241.5878906	n/a	123693	2	condition 2
241.7910156	n/a	123797	22	condition 22
248.7910156	n/a	127381	2	condition 2
248.9941406	n/a	127485	22	condition 22
258.6230469	n/a	132415	2	condition 2
258.8261719	n/a	132519	22	condition 22
268.0976562	n/a	137266	2	condition 2
268.3046875	n/a	137372	22	condition 22
275.3027344	n/a	140955	2	condition 2
275.5078125	n/a	141060	22	condition 22
283.1347656	n/a	144965	2	condition 2
283.3378906	n/a	145069	22	condition 22
291.1875	n/a	149088	2	condition 2
291.3886719	n/a	149191	22	condition 22
301.0351562	n/a	154130	2	condition 2
301.2382812	n/a	154234	22	condition 22
310.5097656	n/a	158981	2	condition 2
310.7148438	n/a	159086	22	condition 22
318.3574219	n/a	162999	2	condition 2
318.5605469	n/a	163103	22	condition 22
328.2070312	n/a	168042	2	condition 2
328.4121094	n/a	168147	22	condition 22
337.6835938	n/a	172894	2	condition 2
337.8847656	n/a	172997	22	condition 22
344.8886719	n/a	176583	2	condition 2
345.0898438	n/a	176686	22	condition 22
352.9199219	n/a	180695	2	condition 2
353.125	n/a	180800	22	condition 22
360.9726562	n/a	184818	2	condition 2
361.1757812	n/a	184922	22	condition 22
368.1757812	n/a	188506	2	condition 2
368.3808594	n/a	188611	22	condition 22
376.0097656	n/a	192517	2	condition 2
376.2109375	n/a	192620	22	condition 22
385.484375	n/a	197368	2	condition 2
385.6875	n/a	197472	22	condition 22
395.3320312	n/a	202410	2	condition 2
395.5351562	n/a	202514	22	condition 22
405.1796875	n/a	207452	2	condition 2
405.3847656	n/a	207557	22	condition 22
414.65625	n/a	212304	2	condition 2
414.859375	n/a	212408	22	condition 22
422.5039062	n/a	216322	2	condition 2
422.7089844	n/a	216427	22	condition 22
430.5566406	n/a	220445	2	condition 2
430.7597656	n/a	220549	22	condition 22
437.7597656	n/a	224133	2	condition 2
437.9628906	n/a	224237	22	condition 22
447.5917969	n/a	229167	2	condition 2
447.7949219	n/a	229271	22	condition 22
454.796875	n/a	232856	2	condition 2
455	n/a	232960	22	condition 22
464.2539062	n/a	237698	2	condition 2
464.4570312	n/a	237802	22	condition 22
472.3085938	n/a	241822	2	condition 2
472.5097656	n/a	241925	22	condition 22
480.1542969	n/a	245839	2	condition 2
480.3574219	n/a	245943	22	condition 22
488.2050781	n/a	249961	2	condition 2
488.4101562	n/a	250066	22	condition 22
497.6816406	n/a	254813	2	condition 2
497.8847656	n/a	254917	22	condition 22
504.8867188	n/a	258502	2	condition 2
505.0898438	n/a	258606	22	condition 22
512.7363281	n/a	262521	2	condition 2
512.9375	n/a	262624	22	condition 22
522.5820312	n/a	267562	2	condition 2
522.7871094	n/a	267667	22	condition 22
532.4316406	n/a	272605	2	condition 2
532.6347656	n/a	272709	22	condition 22
539.6210938	n/a	276286	2	condition 2
539.8222656	n/a	276389	22	condition 22
547.6699219	n/a	280407	2	condition 2
547.875	n/a	280512	22	condition 22
555.5175781	n/a	284425	2	condition 2
555.7207031	n/a	284529	22	condition 22
564.9941406	n/a	289277	2	condition 2
565.1972656	n/a	289381	22	condition 22
572.859375	n/a	293304	2	condition 2
573.0625	n/a	293408	22	condition 22
582.7070312	n/a	298346	2	condition 2
582.9101562	n/a	298450	22	condition 22
592.1835938	n/a	303198	2	condition 2
592.3886719	n/a	303303	22	condition 22
599.3867188	n/a	306886	2	condition 2
599.5898438	n/a	306990	22	condition 22
607.421875	n/a	311000	2	condition 2
607.625	n/a	311104	22	condition 22
614.625	n/a	314688	2	condition 2
614.8300781	n/a	314793	22	condition 22
624.4589844	n/a	319723	2	condition 2
624.6621094	n/a	319827	22	condition 22
632.3066406	n/a	323741	2	condition 2
632.5097656	n/a	323845	22	condition 22
640.375	n/a	327872	2	condition 2
640.578125	n/a	327976	22	condition 22
649.8496094	n/a	332723	2	condition 2
650.0527344	n/a	332827	22	condition 22
657.9023438	n/a	336846	2	condition 2
658.1054688	n/a	336950	22	condition 22
667.3769531	n/a	341697	2	condition 2
667.5800781	n/a	341801	22	condition 22
674.5820312	n/a	345386	2	condition 2
674.7851562	n/a	345490	22	condition 22
684.4121094	n/a	350419	2	condition 2
684.6191406	n/a	350525	22	condition 22
692.2617188	n/a	354438	2	condition 2
692.4648438	n/a	354542	22	condition 22
701.7363281	n/a	359289	2	condition 2
701.9394531	n/a	359393	22	condition 22
709.5859375	n/a	363308	2	condition 2
709.7890625	n/a	363412	22	condition 22
716.7734375	n/a	366988	2	condition 2
716.9765625	n/a	367092	22	condition 22
726.6210938	n/a	372030	2	condition 2
726.8242188	n/a	372134	22	condition 22
734.671875	n/a	376152	2	condition 2
734.875	n/a	376256	22	condition 22
741.8769531	n/a	379841	2	condition 2
742.0800781	n/a	379945	22	condition 22
751.3339844	n/a	384683	2	condition 2
751.5390625	n/a	384788	22	condition 22
759.3867188	n/a	388806	2	condition 2
759.5898438	n/a	388910	22	condition 22
767.234375	n/a	392824	2	condition 2
767.4394531	n/a	392929	22	condition 22
777.0839844	n/a	397867	2	condition 2
777.2871094	n/a	397971	22	condition 22
784.9316406	n/a	401885	2	condition 2
785.1367188	n/a	401990	22	condition 22
794.4082031	n/a	406737	2	condition 2
794.6113281	n/a	406841	22	condition 22
802.4589844	n/a	410859	2	condition 2
802.6640625	n/a	410964	22	condition 22
809.6464844	n/a	414539	2	condition 2
809.8515625	n/a	414644	22	condition 22
819.4941406	n/a	419581	2	condition 2
819.6972656	n/a	419685	22	condition 22
829.34375	n/a	424624	2	condition 2
829.5488281	n/a	424729	22	condition 22
838.8183594	n/a	429475	2	condition 2
839.0234375	n/a	429580	22	condition 22
846.6660156	n/a	433493	2	condition 2
846.8710938	n/a	433598	22	condition 22
854.734375	n/a	437624	2	condition 2
854.9394531	n/a	437729	22	condition 22
861.9394531	n/a	441313	2	condition 2
862.1425781	n/a	441417	22	condition 22
869.7714844	n/a	445323	2	condition 2
869.9765625	n/a	445428	22	condition 22
879.2480469	n/a	450175	2	condition 2
879.4492188	n/a	450278	22	condition 22
887.2988281	n/a	454297	2	condition 2
887.5039062	n/a	454402	22	condition 22
897.1464844	n/a	459339	2	condition 2
897.3496094	n/a	459443	22	condition 22
904.3496094	n/a	463027	2	condition 2
904.5546875	n/a	463132	22	condition 22
912.3867188	n/a	467142	2	condition 2
912.5878906	n/a	467245	22	condition 22
919.5898438	n/a	470830	2	condition 2
919.7929688	n/a	470934	22	condition 22
929.0488281	n/a	475673	2	condition 2
929.2519531	n/a	475777	22	condition 22
936.8964844	n/a	479691	2	condition 2
937.0996094	n/a	479795	22	condition 22
946.7441406	n/a	484733	2	condition 2
946.9472656	n/a	484837	22	condition 22
954.796875	n/a	488856	2	condition 2
955	n/a	488960	22	condition 22
962.6445312	n/a	492874	2	condition 2
962.8476562	n/a	492978	22	condition 22
969.8496094	n/a	496563	2	condition 2
970.0527344	n/a	496667	22	condition 22
979.3242188	n/a	501414	2	condition 2
979.5273438	n/a	501518	22	condition 22
989.1738281	n/a	506457	2	condition 2
989.3769531	n/a	506561	22	condition 22
997.0214844	n/a	510475	2	condition 2
997.2246094	n/a	510579	22	condition 22
1006.496094	n/a	515326	2	condition 2
1006.701172	n/a	515431	22	condition 22
1013.701172	n/a	519015	2	condition 2
1013.90625	n/a	519120	22	condition 22
1023.533203	n/a	524049	2	condition 2
1023.736328	n/a	524153	22	condition 22
1031.585938	n/a	528172	2	condition 2
1031.787109	n/a	528275	22	condition 22
1034.076172	n/a	529447	13	condition 13
1048.3125	n/a	536736	22	condition 22
1055.201172	n/a	540263	2	condition 2
1055.404297	n/a	540367	22	condition 22
1065.033203	n/a	545297	2	condition 2
1065.236328	n/a	545401	22	condition 22
1073.083984	n/a	549419	2	condition 2
1073.289062	n/a	549524	22	condition 22
1080.931641	n/a	553437	2	condition 2
1081.134766	n/a	553541	22	condition 22
1088.984375	n/a	557560	2	condition 2
1089.1875	n/a	557664	22	condition 22
1098.832031	n/a	562602	2	condition 2
1099.037109	n/a	562707	22	condition 22
1106.037109	n/a	566291	2	condition 2
1106.240234	n/a	566395	22	condition 22
1115.496094	n/a	571134	2	condition 2
1115.701172	n/a	571239	22	condition 22
1123.34375	n/a	575152	2	condition 2
1123.546875	n/a	575256	22	condition 22
1131.193359	n/a	579171	2	condition 2
